category,alpha_formula,depth_formula,preset_count,k_alpha_median,p_alpha_median,k_depth_median,known_color_ratio
ice,Pow,Exp,53,6.0,1.7999999523162842,2.5,0.9433962264150944
holy_light,Pow,Exp,44,6.0,1.7999999523162842,2.5,0.9772727272727273
holy_light,Pow,None,44,6.0,1.7999999523162842,2.5,0.8863636363636364
other,Pow,None,40,6.0,1.7999999523162842,2.5,0.575
other,Pow,Exp,39,6.0,1.7999999523162842,2.5,0.8461538461538461
fire,Pow,Exp,36,6.0,1.7999999523162842,2.5,0.7222222222222222
fire,Pow,None,34,6.0,1.5999999642372131,2.5,0.9705882352941176
ice,Pow,None,26,6.0,1.399999976158142,2.5,0.9230769230769231
boss,Pow,None,22,6.5,0.10000000149011612,2.5,0.9090909090909091
smoke_dust,Pow,Exp,20,6.0,1.7999999523162842,2.5,0.95
magic_circle,Pow,Exp,18,6.0,1.5999999642372131,2.5,0.1111111111111111
lightning,Pow,Exp,16,6.0,1.7999999523162842,2.5,0.625
wind,Pow,Exp,15,10.399999618530273,0.10000000149011612,2.5,0.13333333333333333
lightning,Pow,None,14,6.0,1.7999999523162842,2.5,0.7142857142857143
dark,Pow,Exp,13,6.0,1.7999999523162842,2.5,0.5384615384615384
dark,Pow,None,13,6.0,0.10000000149011612,2.5,0.7692307692307693
magic_circle,Pow,None,12,6.0,1.2000000476837158,2.5,0.5
smoke_dust,Pow,None,11,6.0,1.7999999523162842,2.5,1.0
other,LinExp,None,10,6.0,0.10000000149011612,2.5,1.0
slash_trail,Pow,None,10,6.0,0.10000000149011612,2.5,0.2
music,Pow,Exp,8,0.6000000238418579,1.7000000476837158,2.5,0.375
ice,LinExp,None,7,9.899999618530273,0.10000000149011612,2.5,0.8571428571428571
boss,Pow,Exp,6,6.0,1.7999999523162842,2.5,1.0
water,Pow,Exp,6,6.0,1.7999999523162842,2.5,1.0
music,Pow,None,4,6.0,0.9499999769032001,2.5,1.0
explosion,Pow,Exp,3,6.0,1.7999999523162842,2.5,1.0
fire,LinExp,None,3,6.0,0.10000000149011612,2.5,1.0
music,LinExp,None,3,6.0,1.7999999523162842,2.5,1.0
slash_trail,LinExp,Exp,3,20.100000381469727,0.10000000149011612,0.0,0.0
wind,Pow,None,3,9.0,1.7999999523162842,2.5,0.6666666666666666
slash_trail,Pow,Exp,2,6.0,1.7999999523162842,2.5,0.5
smoke_dust,LinExp,None,2,6.0,1.7999999523162842,0.0,1.0
boss,LinExp,None,1,6.0,1.2000000476837158,2.5,1.0
dark,LinExp,None,1,7.199999809265137,0.0,0.0,1.0
lightning,LinExp,Exp,1,2.5999999046325684,1.7999999523162842,0.0,1.0
water,Pow,None,1,9.300000190734863,3.5,2.5,1.0
